nom_repair_cafe;lieu;adresse;cp;ville;contact;telephone;mail;periodicite;inscription;specialite;page_fb_site;horaire;jour_periodicite_dans_le_mois;ville0;geolocalisation;commentaire
Repair Café Halluin;Centre Social / MJC;78 rue Gustave Desmettre;59250;Halluin;;03 20 28 11 55/50;sebmjc@gmail.com;1 fois/mois;Non;Audiovisuel,Informatique,Mécanique/Electromécanique,Vélos,Multimédia,Meuble,Electronique,Electroménager;https://www.facebook.com/mjccshalluin;14h-16h;samedi;Halluin;50.780879,3.128168;
Repair Café Lille;Centre Social la Busette;1 rue Georges Lefebvre;59000;Lille;Christophe Goddon;03 20 52 12 02;repair@mres-asso.org;1 fois/mois;Oui;Audiovisuel,Informatique,Mécanique/Electromécanique,Montres/Bijoux,Couture,Multimédia,Electronique,Electroménager,Machine à coudre;www.facebook.com/repaircafelille;18h-20h30;3ème mardi;Lille;50.6307868958,3.07489395142;
Repair Café de Quesnoy-sur-Deûle;Au Château;48 Rue du Maréchal Foch;59890;Quesnoy-sur-Deûle;Amélie Lhermitte;03 20 63 61 54;developpement-durable@quesnoysurdeule.fr;1 fois/an;Oui;Informatique,Montres/Bijoux,Vélos,Couture,Meuble,Electronique,Electroménager;;10h-13h;dimanche;Quesnoy-sur-Deûle;50.71146,3.004057;
Repair Café Roubaix;La Condition Publique;14 Place du Général Faidherbe;59170;Roubaix;Association ASTUCE;06 17 65 92 49    /     06 03 93 62 42;astuceassorbx@gmail.com;1 fois/mois;Non;Mécanique/Electromécanique,Couture,Electronique,Electroménager;https://www.facebook.com/Repair-Café-Roubaix   https://fr-fr.facebook.com/astuce.asso/   _x000D_;17h-19h;1er mercredi;Roubaix;50.6907377,3.1873034;
Repair Café La Maillerie;La Maillerie;220 Rue Jean Jaures;59650;Villeneuve d'Ascq;;;contact@lamaillerie.fr;1 fois/mois;Oui;;https://www.facebook.com/projetlamaillerie/;18h-20h30;4ème mardi;Villeneuve d'Ascq;50.66298,3.138531;
Repair Café de Villeneuve d'Ascq;Forum départemental des Sciences;1 place de l'Hôtel de Ville;59650;Villeneuve d'Ascq;;03 20 43 19 50;ddvascq@villeneuvedascq.fr;1 fois/mois;Oui;Audiovisuel,Informatique,Mécanique/Electromécanique,Vélos,Couture,Multimédia,Meuble,Electronique,Electroménager;https://www.facebook.com/repaircafevda/;18h-20h30;3ème lundi;Villeneuve d'Ascq;50.620642,3.132173;
Repair Café de La Marque;Ancien restaurant scolaire, salle polyvalente;Ancien restaurant scolaire, salle polyvalente;59152;Anstaing;;07 66 260 270;repaircafedelamarque@tutamail.com;1 fois/mois;Oui;;https://www.facebook.com/repaircafemarque/;18h-20h30;3ème jeudi;Anstaing;50.6171666,3.1856428;Attention, la régularité du lieu change tous les mois. Merci de vérifier sur l'agenda
Repair Café La Madeleine;Café Le Vega;95 rue du Pré Catelan;59110;La Madeleine;Hélène MARCQ;03 20 12 7975;developpement-durable@ville-lamadeleine.fr;1 fois/mois (hors juillet-août);Non;Couture,Electronique,Electroménager;https://www.facebook.com/villedelamadeleine/;18h-20h;3ème jeudi;La Madeleine;50.6581341,3.0590511;
Repair Café Lesquin;Parc d'Enchemont;rue Jean Jaurès;59810;Lesquin;Claude Petitbon;06 87 81 42 91;claude.petitbon@ville-lesquin.fr;1 fois/mois;Non;Audiovisuel,Informatique,Multimédia,Electronique,Electroménager;site de la ville de Lesquin : http://ville-lesquin.fr;17h-20h;mardi;Lesquin;50.58563,3.105321;
Repair ' Café Gourmand;Fabrique du Sud;7 bis rue de l'Asie;59000;Lille;;03 20 85 25 66;contact.map@lsi-asso.fr;1 fois/mois;Non;Audiovosuel,Informatique,Mécanique/Electromécanique,Multimédia,Electronique,Electroménager;https://www.facebook.com/pg/Repair-Café-Lille-Sud-1738876266131672;18h-20h;2ème jeudi;Lille;50.610496,3.055134;
Repair Café Vauban Esquermes;Centre socioculturel Simone Veil;77 rue Rolland;59000;Lille;;;repaircafevaubanesquermes@gmail.com;1 fois/mois;Non;Audiovisuel,Informatique,Mécanique/Electromécanique,Montres/Bijoux,Multimédia,Meuble,Electronique,Electroménager;facebook.com/repaircafevauban_x000D_ Repaircafe.ovh_x000D_ facebook live tree_x000D_ mes voisins.fr_x000D_ lille.demosphere.net;18h-20h30;2ème jeudi;Lille;50.613122,3.049961;
Repair Café - Association Union des Familles de Neuville-en-Ferrain;;1/A rue Edouard Branly;59960;Neuville-en-Ferrain;;03 20 68 02 34;famillesneuville@gmail.com;1 fois/mois;Non;;Site internet : https://sites.google.com/site/famillesneuville/ Facebook : https://www.facebook.com/uniondesfamilles/;9h-11h30;2ème samedi;Neuville-en-Ferrain;50.748642,3.152765;
Repair Café de La Marque;Maison des Associations;220 rue du Maréchal Leclerc;59262;Sainghin-en-Mélantois;;07 66 260 270;repaircafedelamarque@tutamail.com;1 fois/mois;Oui;;https://www.facebook.com/repaircafemarque/;18h-20h30;3ème jeudi;Sainghin-en-Mélantois;50.587593,3.167246;Attention, la régularité du lieu change tous les mois. Merci de vérifier sur l'agenda
